I have a book            ;                           Ich habe ein Buch
You are hungry / You have hunger (singular, familiar)   ;    Du hast Hunger
Are your hungry? / Do you have hunger? (polite)    ;       Haben Sie Hunger?
You have a big bed (polite)        ;                     Sie haben ein großes Bett
He has a wife            ;                           Er hat eine Frau
She has a child            ;                          Sie hat ein Kind
We have a problem            ;                      Wir haben ein Problem
You have a house (plural, familiar)       ;               Ihr habt ein Haus
They have tickets for a trip to Germany        ;          Sie haben Fahrkarten für eine Reise nach Deutschland
I have a father            ;                          Ich habe einen Vater
You have a mother (polite)         ;                    Sie haben eine Mutter
My house has three doors           ;                  Mein Haus hat drei Türen
It has seven windows also           ;                  Es hat auch sieben Fenster
We have time             ;                          Wir haben Zeit
You have a [ball point] pen (polite)     ;                 Sie haben einen Kugelschreiber
They have tickets for the ferry boat         ;            Sie haben Fahrkarten für die Fähre
They have some gifts for their husbands         ;         Sie haben einige Geschenke für ihre Männer
She is lost / She has lost herself       ;                 Sie hat sich verirrt
I have much to do           ;                        Ich habe viel zu tun
You are behind schedule / You have yourself behind schedule (plural, familiar)   ;   Ihr habt euch verspätet
You are late (polite)     ;                             Sie haben sich verspätet
