Excuse me, please, where is the nearest bank? (polite)   ;    Entschuldigen Sie, bitte, wo ist die nächste Bank?
What do you need? (polite)    ;                        Was brauchen Sie?
I would like to change some money    ;                 Ich möchte etwas Geld wechseln
There is a bank on the other side of the street, on the right ;  Da ist eine Bank auf der anderen Seite der Straße, rechts
What is the rate of exchange today? / How stands the exchange rate today?     ;              Wie steht der Wechselkurs heute?
It’s 1.22 dollars per euro      ;                        Er ist ein Dollar zweiundzwanzig pro Euro
I would like to buy euros       ;                      Ich möchte Euro kaufen
How many?           ;                              Wie viele?
I would like to change 100 dollars      ;                Ich möchte hundert Dollar wechseln
I would also like some coins, please     ;               Ich möchte auch Kleingeld, bitte
There you are          ;                            Bitte sehr
Thank you very much         ;                       Danke schön
