I must… / I have to…            ;                    Ich muss
I must buy…               ;                         Ich muss…kaufen
I must buy a ticket to travel          ;                  Ich muss eine Fahrkarte kaufen
I should…                ;                          Ich sollte…
How old are you? (polite)          ;                    Wie alt sind Sie?
Where do you live? (polite)          ;                   Wo leben Sie? / Wo wohnen Sie?
Show me / Show [you] it to me (polite)   ;               Zeigen Sie es mir
Slow down!               ;                          Langsam!
I want to go             ;                           Ich will gehen
Do you have something else? (polite)         ;            Haben Sie etwas anderes?
the opposite of big              ;                     das Gegenteil von groß
I don’t know the word            ;                    Ich kenne das Wort nicht
That means…                ;                       Das bedeutet…
Does that mean… ?              ;                    Bedeutet das… ?
What does that mean?             ;                    Was bedeutet das?
What is that called? / How is that called?       ;          Wie heißt das?
How does one say “please” in German?          ;        Wie sagt man “please” auf Deutsch?
I need…                ;                           Ich brauche…
Where is Joe’s suitcase?             ;                  Wo ist Joes Koffer?
very well                ;                           sehr gut
Of course / It’s clear           ;                      Klar
OK              ;                                In Ordnung
OK, no problem           ;                         In Ordnung, kein Problem
not bad                ;                            nicht schlecht
It’s not bad              ;                           Er [sie, es] ist nicht schlecht
It’s good               ;                            Er [sie, es] ist gut
I’m hungry / I have hunger          ;                  Ich habe Hunger
I’m thirsty [L I have thirst]        ;                   Ich habe Durst
I’m hot / To me is hot         ;                       Mir ist heiß
I’m cold / To me is cold         ;                     Mir ist kalt
I’m lost / I have lost myself         ;                  Ich habe mich verlaufen
I am               ;                               Ich bin
I’m tired               ;                           Ich bin müde
It’s nice weather / It’s beautiful weather         ;         Es ist schönes Wetter
It’s cold               ;                             Es ist kalt
It’s warm               ;                           Es ist warm
It’s cool               ;                            Es ist kühl
It’s sunny               ;                           Es ist sonnig
It’s windy               ;                           Es ist windig
