Excuse me, please, do you still have rooms to rent? / Excuse me, please, do you still have rooms free? (polite) ;  Entschuldigen Sie, bitte, haben Sie noch Zimmer frei?
Yes, of course              ;                        Ja, natürlich
No, we are full             ;                         Nein, wir sind besetzt
We’re fully booked               ;                   Wir sind vollgebucht
How much does a room cost?            ;               Wie viel kostet ein Zimmer?
Would you like a single room? (polite)         ;           Möchten Sie ein Einzelzimmer?
Or a double room?              ;                     Oder ein Doppelzimmer?
With how many beds?              ;                   Mit wie vielen Betten?
For how many persons?              ;                 Für wie viele Personen?
Only for me               ;                         Nur für mich
With bathroom and shower?              ;              Mit Bad und Dusche?
No, only a washbasin             ;                    Nein, nur ein Waschbecken
It costs sixty euros per night            ;               Es kostet sechzig Euro pro Nacht
May I please see the room?            ;                Darf ich bitte das Zimmer sehen?
Certainly, this way, please            ;                 Selbstverständlich, hier entlang, bitte
Would you like the room? (polite)          ;             Möchten Sie das Zimmer?
No, it’s too expensive             ;                   Nein, es ist zu teuer
Do you have a cheaper room? (polite)         ;           Haben Sie ein billigeres Zimmer?
Yes, but it’s very small            ;                    Ja, aber es ist sehr klein
Do you have a better room?            ;                Haben Sie ein besseres Zimmer?
No I am sorry / No, it does me sorrow     ;             Nein, es tut mir Leid
I want the room / I take the room        ;               Ich nehme das Zimmer
Which one?                ;                         Welches?
The small one, number seven            ;              Das kleine, Nummer sieben
Very well! Sign here, please (polite)        ;             Sehr gut! Unterschreiben Sie hier, bitte
