to live                 ;                            leben
I live together with my wife            ;               Ich lebe mit meiner Frau zusammen
You live in Mexico (singular, familiar)         ;          Du lebst in Mexiko
You live in Spain (polite)           ;                   Sie leben in Spanien
He lives alone               ;                       Er lebt allein
She lives together with her husband            ;         Sie lebt mit ihrem Mann zusammen
He is still alive / He still lives         ;                Er lebt noch
We live in Great Britain             ;                 Wir leben in Großbritannien
You live in Austria (plural, familiar)         ;            Ihr lebt in Österreich
You live in Italy (polite)           ;                    Sie leben in Italien
They live together with their husbands            ;       Sie leben mit ihren Männern zusammen
John and Eva live together             ;               Hans und Eva leben zusammen
Do you live in Canada? (polite)          ;               Leben Sie in Kanada?
Does she live in France?             ;                 Lebt sie in Frankreich?
