Excuse me, please, where is the nearest post office? (polite) ; Entschuldigen Sie, bitte, wo ist das nächste Postamt?
It is very far from here    ;                            Es ist sehr weit von hier
How many kilometers from here?     ;                  Wie viele Kilometer von hier?
I don’t know, but it’s about ten minutes by car [L I don’t know, but there are about ten minutes with the car]                     ;                 Ich weiß nicht, aber es sind ungefähr zehn Minuten mit dem Auto
Is there a bus or a taxi near here?     ;                   Gibt es einen Bus oder ein Taxi in der Nähe?
Yes, there is a taxi, but it’s very expensive   ;             Ja, da ist ein Taxi, aber es ist sehr teuer
How much does it cost with the bus?      ;               Wie viel kostet es mit dem Bus?
It costs nothing, but it’s very complicated with the bus   ;   Er kostet nichts, aber es ist sehr kompliziert mit dem Bus
Why?             ;                                Warum?
Because the bus travels only two kilometers       ;        Weil der Bus nur zwei Kilometer fährt
Oh, that’s a problem         ;                         Oh, das ist ein Problem
I would like to buy stamps        ;                     Ich möchte Briefmarken kaufen
I sell stamps here          ;                          Ich verkaufe Briefmarken hier
I would like three stamps for two euros each     ;         Ich möchte drei Briefmarken zu je zwei Euro
Very well, here you are        ;                       Gut Bitte sehr
Thank you very much          ;                      Danke sehr
You’re welcome            ;                         Bitte schön

