I am very tall            ;                           Ich bin sehr groß
You are my friend (singular, familiar)       ;             Du bist mein Freund
You are a good person (polite)        ;                  Sie sind ein guter Mensch
He is German             ;                         Er ist Deutscher
She is beautiful             ;                        Sie ist schön
Her child is big            ;                         Ihr Kind ist groß
This ticket is expensive            ;                   Diese Fahrkarte ist teuer
We are British             ;                         Wir sind Engländer
You are Americans (plural, familiar)        ;             Ihr seid Amerikaner
You are Americans (polite)          ;                  Sie sind Amerikaner
Those are difficult problems            ;               Das sind schwere Probleme
They are very important            ;                  Sie sind sehr wichtig
It’s eight o’clock             ;                       Es ist acht Uhr
I am very intelligent            ;                      Ich bin sehr intelligent
This is very bad            ;                         Das ist sehr schlecht
These suitcases are heavy            ;                 Diese Koffer sind schwer
I am sick             ;                             Ich bin krank
You are tired (singular, familiar)        ;                Du bist müde
You are at the airport (polite)        ;                  Sie sind auf dem Flughafen
He is at my brother’s house          ;                  Er ist bei meinem Bruder zu Hause
He is with my brother / He is with my brother together   ;  Er ist mit meinem Bruder zusammen
She is with my male cousin          ;                 Sie ist mit meinem Vetter zusammen
This is clean             ;                           Das ist sauber
We are happy             ;                          Wir sind glücklich
They are here             ;                          Sie sind hier
They are at my house           ;                      Sie sind bei mir [zu Hause]
You are unhappy (polite)          ;                    Sie sind unglücklich
The store is closed            ;                       Das Geschäft ist geschlossen
The stores are open            ;                      Die Geschäfte sind geöffnet
We are content / We are pleased        ;                Wir sind zufrieden
You are in Spain (singular, familiar)       ;              Du bist in Spanien
Where are you? (polite)          ;                     Wo sind Sie?
Where are my books?            ;                     Wo sind meine Bücher?
I am busy             ;                             Ich bin beschäftigt
