I want…               ;                            Ich will…
I do not want…             ;                        Ich will nicht… / Ich will kein…
I do not want to go          ;                        Ich will nicht gehen
I do not want a book / I want no book    ;               Ich will kein Buch
I would like…              ;                        Ich möchte…
I would not like…             ;                      Ich möchte nicht… / Ich möchte kein…
I would not like to travel          ;                    Ich möchte nicht reisen
I would not like dessert           ;                    Ich möchte keinen Nachtisch
I have…               ;                            Ich habe…
I do not have… [L I have no… ]      ;                 Ich habe kein…
It is…               ;                              Es ist...
It is not…              ;                            Es ist nicht…
You have… (polite)            ;                       Sie haben…
You don’t have… [L You have no… ] (polite)    ;          Sie haben kein…
I know              ;                              Ich weiß
I don’t know             ;                           Ich weiß nicht
I understand              ;                          Ich verstehe
I don’t understand             ;                      Ich verstehe nicht
I speak English             ;                        Ich spreche Englisch
I don’t speak Spanish            ;                    Ich spreche nicht Spanisch
I like…               ;                             Ich mag…
I don’t like…              ;                         Ich mag kein…
There is… / There are…            ;                  Es gibt…
There is not… / There are not…          ;             Es gibt kein…
