the hotel                 ;                          das Hotel
the youth hostel                ;                      die Jugendherberge
the room                 ;                          das Zimmer
a better room                ;                        ein besseres Zimmer
I would like a better room            ;                Ich möchte ein besseres Zimmer
the bathroom                 ;                       das Bad
with bathroom                 ;                      mit Bad
without bathroom                 ;                   ohne Bad
a shower                 ;                          eine Dusche
the wash basin                ;                      das Waschbecken
I would like a room with a bathroom          ;          Ich möchte ein Zimmer mit Bad
and a shower                ;                        und Dusche
How much does it cost?             ;                  Wie viel kostet es?
expensive                  ;                        teuer
very expensive                 ;                     sehr teuer
too much                 ;                          zu viel
too expensive                 ;                      zu teuer
It’s too expensive               ;                     Es ist zu teuer
cheap                  ;                            billig
cheaper                  ;                          billiger
Do you have a cheaper room? (polite)         ;           Haben Sie ein billigeres Zimmer?
Do you have the key? (polite)          ;                 Haben Sie den Schlüssel?
the week                 ;                          die Woche
per week                 ;                          pro Woche
per night                 ;                          pro Nacht
air conditioning                 ;                     Klimaanlage
no vacancy / full               ;                      besetzt
vacancy / room free               ;                   Zimmer frei
It works                ;                           Es funktioniert
It does not work              ;                      Es funktioniert nicht
The shower is broken              ;                  Die Dusche ist kaputt
to reserve                 ;                          reservieren
I would like to make a reservation / I would like to reserve a room  ;                     Ich möchte ein Zimmer reservieren
