Do you have a computer in the hotel? (polite)       ;       Haben Sie einen Computer im Hotel?
Where is there an internet café?            ;             Wo gibt es ein Internetcafé?
Which is the right password?             ;              Wie heißt das richtige Passwort?
I don’t have an email address            ;              Ich habe keine E-Mailadresse
to send                 ;                            senden
I need to send an email            ;                   Ich muss eine E-Mail senden
How much does the digital camera cost?           ;       Wie viel kostet die digitale Kamera?
I want to download the information            ;         Ich will die Information herunterladen
Do you have a printer? (polite)          ;                Haben Sie eine Druckmaschine?
I want to print now             ;                     Ich will jetzt ausdrucken
one / they / we / I            ;                        man
How does one print?              ;                    Wie druckt man aus?
We have an online reservation             ;             Wir haben eine On-line-Reservierung
Do you have a cell phone? (singular, familiar)       ;      Hast du ein Handy / Hast du ein Mobiltelefon?
Does the hotel have a fax number?           ;           Hat das Hotel eine Faxnummer?
the Web                 ;                           das Web
perfect                  ;                           perfekt
Your website is perfect (plural, familiar)         ;         Eure Website ist perfekt

