Good morning, John, how are you? [L Good morning, John, how goes it for you?] (singular, familiar)    ;      Guten Morgen, Hans, wie geht es dir?
Fine, thanks, and you? (singular, familiar)          ;       Gut, danke, und dir?
to plan or to have in mind               ;               vorhaben / planen
Not bad What do you have planned for today? (singular, familiar)      ;            Nicht schlecht Was hast du heute vor?
I’m going to visit my parents / I’m going to my parents, to visit     ;                 Ich gehe meine Eltern besuchen
I want to visit my parents               ;              Ich will meine Eltern besuchen
Are you going by car? (singular, familiar)           ;      Fährst du mit dem Auto?
No, I have a bicycle               ;                   Nein, ich habe ein Fahrrad
It’s not all too far from here              ;              Es ist nicht allzu weit von hier
When are you leaving? / When will you depart? (singular, familiar)      ;                            Wann wirst du abfahren?
About noontime I think                 ;              Um die Mittagszeit, denke ich
First I’m going to the bakery               ;            Zuerst gehe ich zur Bäckerei
Why? To buy bread? [L For bread to buy?]        ;       Warum? Um Brot zu kaufen?
No, to see my brother [L For my brother to see]      ;     Nein, um meinen Bruder zu sehen
Does he work at the bakery?               ;            Arbeitet er in der Bäckerei?
Yes, he works there with my sister             ;         Ja, er arbeitet dort mit meiner Schwester
Oh, I see / Oh, I understand           ;                Ah, ich verstehe
It’s late now / It is already late            ;             Es ist schon spät
I must go                  ;                        Ich muss gehen
We must go                  ;                      Wir müssen gehen
Yes, of course, see you soon [L Yes, naturally, until later]  ; Ja, natürlich, bis später
