the moment       ;                                  der Moment
the day       ;                                      der Tag
the week       ;                                    die Woche
the month       ;                                   der Monat
the year       ;                                     das Jahr
today        ;                                      heute
tomorrow        ;                                   morgen
yesterday        ;                                   gestern
now        ;                                       jetzt
not now       ;                                     nicht jetzt
not yet       ;                                      noch nicht
this year       ;                                     dieses Jahr
next year       ;                                    nächstes Jahr
last year       ;                                     voriges Jahr / letztes Jahr
in two days      ;                                   in zwei Tagen
within two days      ;                                innerhalb von zwei Tagen
two days ago      ;                                  vor zwei Tagen
two times       ;                                    zweimal
three times       ;                                   dreimal
one more time      ;                                 noch einmal
again        ;                                      wieder
on time       ;                                     pünktlich
