How much does this cost?    ;                         Wie viel kostet das?
this one [near]     ;                                  dieser [(m) / diese (f) / dieses (n)]
that one [farther away]    ;                            jener [(m) / jene (f) / jenes (n)]
that one over there      ;                             jener dort drüben
these here        ;                                  diese hier
those there        ;                                  jene dort
those over there       ;                               jene dort drüben
large         ;                                     groß
larger         ;                                     größer
the largest        ;                                  der [die, das] größte
small         ;                                     klein
smaller         ;                                    kleiner
the smallest        ;                                 der [die, das] kleinste
like this        ;                                    wie dieser [diese, dieses]
like this, but bigger     ;                              wie dieses, aber größer
better         ;                                     besser
expensive         ;                                  teuer
more expensive        ;                              teurer
less expensive        ;                               weniger teuer
too expensive        ;                               zu teuer
cheap         ;                                     billig
something         ;                                 etwas
I would like something cheaper    ;                    Ich möchte etwas Billigeres
I would like something like this   ;                     Ich möchte so etwas wie dieses
I am looking for…      ;                             Ich suche…
No, not like that    ;                                Nein, nicht so
Many thanks       ;                                Vielen Dank
You’re welcome       ;                              Bitte
