Excuse me, please, I am looking for [search for] this address (polite)   ;                              Entschuldigen Sie, bitte, ich suche diese Adresse
You follow this street (polite)              ;             Sie folgen dieser Straße
as far as the corner                 ;                  bis zur Ecke
Then go left on Franz street (polite)            ;         Dann gehen Sie links auf der Franz Straße
Then go right at the police station (polite)           ;      Dann gehen Sie bei der Polizeiwache rechts
Go straight ahead 100 meters (polite)             ;       Gehen Sie hundert Meter geradeaus
It’s near [from] the small bakery             ;           Es ist in der Nähe von der kleinen Bäckerei
It’s next to the hospital                ;                Es ist beim Krankenhaus
It’s across from the pharmacy                ;          Es ist gegenüber von der Apotheke
It’s on the other side of the street             ;          Es ist auf der anderen Straßenseite
Can you make a map for me? / Can you draw it for me? [L Can you, it, for me, draw?] (polite)         ;        Können Sie es mir aufzeichnen?
Certainly Do you have a pencil? (polite)    ;              Selbstverständlich Haben Sie einen Bleistift?
Yes, and I have also a piece of paper    ;                 Ja, und ich habe auch ein Blatt Papier
