the suitcase                 ;                        der Koffer
my suitcase                 ;                        mein Koffer
my suitcases                 ;                       meine Koffer
your suitcase (singular, familiar)            ;            dein Koffer
your suitcase (polite)              ;                    Ihr Koffer
your suitcases (polite)              ;                   Ihre Koffer
his suitcase                 ;                        sein Koffer
her suitcase                 ;                        ihr Koffer
his suitcases                 ;                       seine Koffer
our suitcase                 ;                        unser Koffer
our suitcases                 ;                       unsere Koffer
your suitcase (polite)              ;                    Ihr Koffer
your suitcases (polite)              ;                   Ihre Koffer
your suitcase (plural, familiar)            ;              euer Koffer
your suitcases (plural, familiar)            ;             euere Koffer
their suitcase                 ;                       ihr Koffer
their suitcases                 ;                      ihre Koffer
the gift                 ;                            das Geschenk
my gift                 ;                            mein Geschenk
your gift (singular, familiar)            ;                dein Geschenk
your gift (polite)              ;                       Ihr Geschenk
your gifts (polite)              ;                      Ihre Geschenke
his gift                 ;                            sein Geschenk
her gift                 ;                            ihr Geschenk
her gifts                 ;                           ihre Geschenke
our gift                 ;                           unser Geschenk
our gifts                 ;                           unsere Geschenke
your gift (plural, familiar)            ;                  euer Geschenk
their gifts                 ;                          ihre Geschenke
the ticket / the map / the card           ;                die Karte
my ticket                 ;                          meine Karte
your ticket (singular, familiar)            ;              deine Karte
your ticket (polite)              ;                     Ihre Karte
your tickets (polite)              ;                     Ihre Karten
his ticket                 ;                          seine Karte
her ticket                 ;                          ihre Karte
her tickets                 ;                         ihre Karten
our ticket                 ;                          unsere Karte
our tickets                 ;                         unsere Karten
your ticket (plural, familiar)            ;                euere Karte
your tickets (plural, familiar)            ;               euere Karten
their ticket                 ;                         ihre Karte
their tickets                 ;                        ihre Karten
your name (polite)              ;                      Ihr Name
my male friend                ;                      mein Freund
my female friend                ;                     meine Freundin
our sister                 ;                          unsere Schwester
our brother                 ;                        unser Bruder
our wives                 ;                          unsere Frauen
our husbands                 ;                       unsere Männer
his car                 ;                            sein Auto
your car (polite)              ;                       Ihr Wagen
